Time_Index,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9
20,0.249,0.398,0.179,0.281,0.153,0.243,0.193,0.192,0.188,0.464,0.437,0.405,0.472,0.492,0.521,0.481,0.432,0.635,0.237,0.861,0.698,0.543,0.475,0.439,0.291,0.782,0.213,0.767,0.206,0.669
21,0.255,0.426,0.204,0.287,0.238,0.29,0.307,0.256,0.335,0.523,0.511,0.381,0.534,0.527,0.563,0.669,0.536,0.853,0.416,0.999,0.708,0.538,0.459,0.442,0.291,0.821,0.226,0.785,0.224,0.833
22,0.278,0.472,0.233,0.309,0.313,0.313,0.347,0.309,0.405,0.532,0.572,0.562,0.572,0.597,0.522,0.684,0.558,0.862,0.546,0.994,0.73,0.59,0.44,0.387,0.288,0.806,0.228,0.74,0.223,0.885
23,0.339,0.561,0.249,0.386,0.373,0.303,0.339,0.319,0.363,0.652,0.586,0.628,0.604,0.575,0.54,0.58,0.592,0.562,0.571,0.676,0.765,0.645,0.421,0.426,0.278,0.84,0.23,0.694,0.223,0.859
24,0.402,0.668,0.28,0.434,0.317,0.31,0.315,0.375,0.312,0.723,0.71,0.745,0.665,0.679,0.544,0.712,0.661,0.76,0.635,0.77,0.749,0.676,0.429,0.422,0.294,0.838,0.263,0.679,0.256,0.928
25,0.451,0.647,0.332,0.473,0.22,0.397,0.187,0.397,0.163,0.602,0.625,0.747,0.526,0.68,0.412,0.592,0.589,0.594,0.491,0.372,0.516,0.424,0.405,0.405,0.351,0.583,0.311,0.5,0.294,0.893
26,0.518,0.663,0.353,0.535,0.277,0.387,0.208,0.35,0.122,0.576,0.619,0.834,0.501,0.69,0.371,0.545,0.539,0.474,0.427,0.483,0.524,0.348,0.397,0.414,0.345,0.533,0.315,0.436,0.294,0.867
27,0.494,0.674,0.337,0.572,0.228,0.406,0.171,0.327,0.101,0.537,0.616,0.885,0.466,0.685,0.302,0.501,0.487,0.389,0.416,0.587,0.463,0.332,0.375,0.36,0.324,0.539,0.277,0.448,0.255,0.849
28,0.487,0.641,0.327,0.521,0.163,0.319,0.138,0.315,0.117,0.482,0.538,0.836,0.399,0.563,0.258,0.416,0.371,0.313,0.266,0.167,0.419,0.314,0.355,0.34,0.321,0.387,0.259,0.362,0.234,0.703
29,0.456,0.621,0.311,0.474,0.142,0.332,0.123,0.347,0.136,0.43,0.47,0.728,0.305,0.493,0.136,0.3,0.202,0.203,0.149,0.031,0.371,0.32,0.318,0.309,0.292,0.319,0.228,0.271,0.221,0.689
30,0.44,0.597,0.291,0.418,0.149,0.357,0.128,0.39,0.155,0.368,0.424,0.628,0.238,0.408,0.083,0.215,0.127,0.138,0.108,0.062,0.318,0.297,0.315,0.297,0.268,0.266,0.215,0.155,0.211,0.594
31,0.408,0.549,0.253,0.381,0.138,0.364,0.101,0.357,0.117,0.355,0.389,0.568,0.2,0.371,0.066,0.169,0.107,0.094,0.11,0.026,0.386,0.281,0.346,0.303,0.28,0.243,0.218,0.102,0.198,0.586
32,0.289,0.388,0.204,0.325,0.111,0.243,0.07,0.215,0.052,0.276,0.33,0.461,0.185,0.311,0.073,0.15,0.101,0.123,0.103,0.004,0.328,0.259,0.315,0.274,0.284,0.21,0.221,0.068,0.18,0.447
33,0.193,0.275,0.119,0.218,0.051,0.132,0.035,0.139,0.022,0.255,0.222,0.3,0.115,0.235,0.037,0.134,0.066,0.144,0.061,0.0,0.39,0.211,0.295,0.256,0.248,0.257,0.179,0.06,0.161,0.57
34,0.1,0.162,0.062,0.124,0.05,0.119,0.035,0.107,0.05,0.187,0.114,0.154,0.072,0.123,0.029,0.085,0.058,0.077,0.055,0.0,0.34,0.097,0.221,0.19,0.151,0.182,0.115,0.046,0.119,0.429
35,0.103,0.145,0.059,0.101,0.055,0.121,0.032,0.152,0.018,0.146,0.071,0.09,0.042,0.089,0.012,0.079,0.027,0.107,0.052,0.0,0.265,0.057,0.131,0.108,0.056,0.133,0.046,0.054,0.053,0.351
36,0.086,0.123,0.057,0.104,0.041,0.124,0.032,0.157,0.028,0.173,0.029,0.023,0.018,0.038,0.006,0.046,0.006,0.085,0.03,0.0,0.167,0.054,0.081,0.065,0.047,0.109,0.049,0.056,0.041,0.241
37,0.059,0.101,0.044,0.09,0.031,0.149,0.025,0.168,0.035,0.185,0.021,0.006,0.006,0.018,0.002,0.045,0.01,0.097,0.037,0.022,0.127,0.089,0.054,0.051,0.05,0.105,0.047,0.093,0.036,0.261
38,0.082,0.124,0.068,0.111,0.052,0.177,0.052,0.168,0.055,0.153,0.027,0.014,0.032,0.048,0.038,0.07,0.052,0.064,0.044,0.065,0.116,0.168,0.08,0.066,0.062,0.145,0.066,0.165,0.056,0.182
39,0.116,0.14,0.084,0.143,0.057,0.213,0.071,0.189,0.067,0.157,0.035,0.037,0.065,0.062,0.083,0.073,0.055,0.056,0.041,0.137,0.111,0.175,0.085,0.085,0.074,0.103,0.069,0.13,0.062,0.134
40,0.111,0.132,0.097,0.125,0.109,0.18,0.101,0.192,0.078,0.163,0.105,0.053,0.093,0.071,0.082,0.087,0.079,0.035,0.086,0.073,0.116,0.183,0.134,0.147,0.123,0.089,0.11,0.14,0.104,0.164
41,0.154,0.173,0.101,0.176,0.104,0.231,0.147,0.282,0.11,0.179,0.201,0.07,0.257,0.13,0.214,0.22,0.145,0.163,0.133,0.074,0.163,0.215,0.161,0.144,0.15,0.132,0.124,0.11,0.107,0.178
42,0.168,0.192,0.117,0.164,0.131,0.222,0.147,0.275,0.096,0.156,0.37,0.166,0.419,0.298,0.35,0.458,0.278,0.734,0.244,0.006,0.21,0.231,0.19,0.175,0.165,0.203,0.126,0.149,0.119,0.258
43,0.238,0.223,0.156,0.224,0.191,0.252,0.189,0.276,0.149,0.181,0.428,0.22,0.407,0.365,0.414,0.452,0.295,0.68,0.282,0.009,0.24,0.259,0.223,0.232,0.194,0.243,0.168,0.179,0.171,0.385
44,0.273,0.269,0.182,0.294,0.18,0.261,0.177,0.253,0.166,0.225,0.541,0.374,0.498,0.565,0.48,0.526,0.3,0.43,0.187,0.079,0.284,0.262,0.19,0.167,0.178,0.338,0.173,0.32,0.207,0.473
45,0.301,0.272,0.217,0.351,0.198,0.32,0.213,0.321,0.169,0.192,0.598,0.501,0.598,0.662,0.564,0.711,0.463,0.83,0.202,0.165,0.308,0.28,0.223,0.205,0.223,0.479,0.209,0.477,0.234,0.575
46,0.346,0.309,0.252,0.424,0.228,0.403,0.234,0.411,0.237,0.229,0.467,0.341,0.558,0.491,0.582,0.627,0.566,0.804,0.281,0.053,0.302,0.297,0.25,0.277,0.26,0.586,0.228,0.554,0.262,0.647
47,0.375,0.416,0.308,0.517,0.264,0.471,0.267,0.404,0.314,0.28,0.509,0.466,0.549,0.502,0.534,0.531,0.558,0.61,0.343,0.053,0.29,0.327,0.277,0.299,0.258,0.552,0.262,0.504,0.314,0.6
48,0.341,0.49,0.333,0.525,0.241,0.468,0.284,0.417,0.341,0.327,0.559,0.571,0.508,0.451,0.437,0.475,0.487,0.467,0.37,0.084,0.402,0.325,0.3,0.389,0.3,0.431,0.319,0.399,0.352,0.55
49,0.324,0.537,0.236,0.455,0.146,0.447,0.147,0.311,0.149,0.694,0.078,0.136,0.036,0.13,0.116,0.076,0.072,0.111,0.05,0.403,0.529,0.426,0.453,0.48,0.443,0.604,0.386,0.488,0.301,0.853
50,0.326,0.529,0.225,0.417,0.116,0.421,0.135,0.307,0.135,0.687,0.079,0.138,0.034,0.125,0.069,0.047,0.037,0.029,0.043,0.529,0.58,0.383,0.45,0.523,0.445,0.553,0.387,0.542,0.279,0.871
51,0.294,0.464,0.198,0.352,0.118,0.401,0.115,0.317,0.106,0.569,0.085,0.187,0.045,0.126,0.034,0.051,0.042,0.024,0.058,0.531,0.721,0.372,0.493,0.567,0.453,0.509,0.375,0.492,0.252,0.869
52,0.282,0.43,0.181,0.297,0.114,0.369,0.122,0.292,0.125,0.472,0.082,0.164,0.045,0.104,0.027,0.049,0.041,0.025,0.062,0.547,0.755,0.377,0.503,0.565,0.456,0.47,0.374,0.378,0.292,0.85
53,0.264,0.411,0.161,0.259,0.119,0.35,0.146,0.303,0.153,0.442,0.045,0.109,0.02,0.075,0.018,0.027,0.026,0.014,0.049,0.442,0.713,0.364,0.492,0.516,0.448,0.494,0.379,0.348,0.309,0.871
54,0.221,0.343,0.139,0.226,0.126,0.308,0.15,0.316,0.162,0.348,0.052,0.118,0.026,0.077,0.026,0.035,0.03,0.027,0.053,0.3,0.696,0.35,0.502,0.512,0.433,0.492,0.352,0.323,0.282,0.88
55,0.205,0.304,0.129,0.185,0.136,0.245,0.161,0.296,0.193,0.306,0.03,0.077,0.011,0.045,0.014,0.016,0.019,0.011,0.03,0.268,0.684,0.348,0.481,0.469,0.387,0.438,0.303,0.278,0.237,0.877
56,0.141,0.25,0.099,0.171,0.103,0.206,0.116,0.244,0.156,0.267,0.019,0.065,0.005,0.031,0.005,0.011,0.009,0.007,0.02,0.173,0.63,0.334,0.398,0.355,0.323,0.352,0.264,0.218,0.233,0.865
57,0.143,0.26,0.108,0.18,0.117,0.179,0.117,0.18,0.133,0.341,0.027,0.043,0.009,0.03,0.023,0.018,0.016,0.022,0.011,0.391,0.546,0.293,0.36,0.322,0.301,0.282,0.239,0.139,0.205,0.822
58,0.128,0.236,0.093,0.161,0.092,0.111,0.099,0.104,0.161,0.354,0.036,0.04,0.01,0.028,0.041,0.022,0.04,0.031,0.016,0.425,0.466,0.28,0.326,0.292,0.271,0.278,0.234,0.124,0.215,0.801
59,0.11,0.189,0.078,0.16,0.081,0.111,0.109,0.098,0.206,0.346,0.02,0.026,0.01,0.012,0.034,0.005,0.02,0.006,0.009,0.128,0.373,0.211,0.26,0.203,0.208,0.243,0.183,0.122,0.178,0.756
60,0.099,0.223,0.097,0.239,0.095,0.131,0.116,0.104,0.265,0.432,0.022,0.01,0.017,0.003,0.026,0.006,0.016,0.014,0.009,0.045,0.266,0.16,0.132,0.083,0.107,0.231,0.095,0.07,0.096,0.607
61,0.112,0.246,0.114,0.304,0.091,0.181,0.141,0.16,0.349,0.476,0.032,0.019,0.038,0.005,0.041,0.011,0.023,0.017,0.016,0.062,0.281,0.153,0.111,0.074,0.064,0.108,0.058,0.032,0.073,0.45
62,0.172,0.265,0.131,0.337,0.11,0.203,0.144,0.191,0.284,0.497,0.014,0.02,0.015,0.003,0.028,0.004,0.024,0.001,0.039,0.141,0.175,0.17,0.103,0.08,0.065,0.117,0.058,0.06,0.076,0.384
63,0.233,0.275,0.145,0.345,0.123,0.21,0.2,0.214,0.288,0.475,0.009,0.005,0.017,0.001,0.035,0.002,0.025,0.002,0.043,0.175,0.141,0.153,0.116,0.114,0.09,0.059,0.08,0.039,0.081,0.302
64,0.307,0.345,0.181,0.403,0.136,0.253,0.221,0.269,0.396,0.519,0.013,0.003,0.019,0.005,0.049,0.005,0.032,0.001,0.055,0.112,0.131,0.172,0.126,0.132,0.121,0.083,0.104,0.044,0.09,0.237
65,0.352,0.392,0.236,0.413,0.154,0.293,0.232,0.28,0.355,0.503,0.018,0.005,0.014,0.005,0.031,0.006,0.02,0.001,0.044,0.085,0.166,0.199,0.172,0.186,0.147,0.092,0.117,0.068,0.109,0.266
66,0.401,0.442,0.298,0.427,0.149,0.326,0.221,0.289,0.318,0.561,0.036,0.011,0.02,0.021,0.027,0.014,0.015,0.002,0.025,0.109,0.158,0.213,0.204,0.227,0.193,0.217,0.162,0.099,0.149,0.261
67,0.474,0.493,0.355,0.406,0.191,0.367,0.255,0.332,0.336,0.493,0.081,0.025,0.037,0.094,0.017,0.072,0.012,0.055,0.04,0.211,0.125,0.2,0.21,0.25,0.2,0.17,0.188,0.09,0.185,0.204
68,0.53,0.553,0.388,0.413,0.158,0.414,0.303,0.453,0.497,0.474,0.066,0.038,0.037,0.092,0.027,0.08,0.018,0.049,0.03,0.289,0.104,0.213,0.201,0.265,0.216,0.157,0.202,0.09,0.209,0.182
69,0.503,0.534,0.417,0.398,0.169,0.508,0.298,0.595,0.515,0.381,0.106,0.063,0.095,0.13,0.085,0.198,0.039,0.174,0.064,0.487,0.105,0.231,0.19,0.244,0.209,0.119,0.205,0.089,0.224,0.194
70,0.557,0.561,0.476,0.404,0.2,0.556,0.313,0.619,0.535,0.334,0.143,0.076,0.109,0.111,0.101,0.168,0.05,0.284,0.06,0.397,0.112,0.273,0.207,0.264,0.225,0.092,0.226,0.075,0.256,0.134
71,0.578,0.571,0.482,0.438,0.213,0.57,0.323,0.662,0.618,0.347,0.128,0.07,0.095,0.093,0.073,0.181,0.06,0.378,0.08,0.585,0.118,0.284,0.204,0.298,0.247,0.081,0.246,0.07,0.264,0.102
72,0.535,0.565,0.502,0.449,0.257,0.652,0.372,0.692,0.643,0.36,0.083,0.105,0.043,0.095,0.029,0.119,0.034,0.207,0.108,0.934,0.121,0.289,0.216,0.285,0.253,0.095,0.242,0.061,0.234,0.107
73,0.805,0.816,0.706,0.883,0.678,0.555,0.499,0.705,0.284,0.858,0.955,0.996,0.954,0.935,0.874,0.857,0.873,0.867,0.803,0.637,0.766,0.83,0.564,0.486,0.471,0.789,0.449,0.733,0.374,0.949
74,0.82,0.812,0.741,0.874,0.721,0.572,0.551,0.705,0.335,0.83,0.95,0.994,0.959,0.931,0.922,0.867,0.901,0.836,0.785,0.679,0.759,0.786,0.513,0.481,0.445,0.721,0.391,0.667,0.33,0.844
75,0.826,0.82,0.737,0.853,0.735,0.598,0.568,0.728,0.35,0.827,0.954,0.99,0.953,0.917,0.919,0.913,0.873,0.856,0.797,0.825,0.763,0.787,0.512,0.54,0.439,0.683,0.358,0.625,0.296,0.835
76,0.824,0.815,0.755,0.842,0.759,0.643,0.581,0.727,0.339,0.813,0.943,0.974,0.878,0.904,0.807,0.92,0.788,0.907,0.784,0.998,0.752,0.764,0.526,0.516,0.428,0.631,0.33,0.519,0.278,0.778
77,0.838,0.858,0.769,0.857,0.753,0.695,0.575,0.756,0.325,0.831,0.935,0.963,0.817,0.885,0.735,0.828,0.669,0.769,0.694,1.0,0.735,0.721,0.526,0.456,0.396,0.616,0.291,0.428,0.248,0.702
78,0.847,0.852,0.795,0.851,0.766,0.685,0.596,0.743,0.353,0.842,0.937,0.955,0.81,0.881,0.715,0.794,0.628,0.688,0.671,1.0,0.718,0.64,0.501,0.421,0.387,0.644,0.278,0.457,0.229,0.579
79,0.86,0.856,0.809,0.873,0.763,0.691,0.615,0.668,0.476,0.837,0.947,0.992,0.828,0.945,0.686,0.817,0.618,0.678,0.644,1.0,0.724,0.569,0.481,0.442,0.396,0.663,0.305,0.581,0.248,0.55
80,0.806,0.825,0.698,0.861,0.722,0.561,0.558,0.658,0.418,0.746,0.934,0.994,0.899,0.965,0.783,0.821,0.679,0.62,0.624,0.987,0.647,0.579,0.412,0.337,0.335,0.642,0.283,0.619,0.237,0.59
81,0.773,0.807,0.636,0.725,0.708,0.553,0.55,0.626,0.421,0.676,0.927,0.988,0.825,0.922,0.63,0.762,0.562,0.613,0.518,0.999,0.656,0.561,0.406,0.333,0.35,0.554,0.32,0.552,0.252,0.634
82,0.798,0.805,0.67,0.743,0.658,0.638,0.424,0.632,0.267,0.643,0.951,0.975,0.847,0.933,0.635,0.857,0.577,0.83,0.564,1.0,0.67,0.554,0.406,0.345,0.346,0.505,0.332,0.523,0.248,0.663
83,0.678,0.732,0.502,0.654,0.44,0.549,0.266,0.598,0.144,0.482,0.94,0.959,0.858,0.909,0.612,0.801,0.541,0.873,0.526,0.983,0.671,0.424,0.374,0.334,0.308,0.451,0.287,0.457,0.238,0.734
84,0.579,0.618,0.407,0.536,0.39,0.495,0.225,0.559,0.122,0.317,0.959,0.901,0.945,0.93,0.878,0.911,0.791,0.941,0.596,0.907,0.503,0.318,0.289,0.24,0.214,0.409,0.187,0.481,0.166,0.696
85,0.521,0.551,0.395,0.504,0.417,0.528,0.222,0.594,0.106,0.281,0.948,0.878,0.902,0.907,0.819,0.853,0.703,0.909,0.621,0.983,0.426,0.29,0.231,0.181,0.171,0.393,0.13,0.435,0.114,0.651
86,0.528,0.557,0.393,0.492,0.406,0.535,0.227,0.598,0.123,0.315,0.92,0.916,0.796,0.892,0.706,0.779,0.618,0.82,0.623,1.0,0.342,0.275,0.217,0.197,0.185,0.314,0.151,0.35,0.143,0.576
87,0.599,0.639,0.443,0.563,0.388,0.552,0.197,0.538,0.109,0.417,0.929,0.908,0.825,0.87,0.75,0.769,0.621,0.76,0.567,1.0,0.313,0.3,0.239,0.255,0.232,0.314,0.186,0.341,0.165,0.565
88,0.685,0.727,0.509,0.677,0.387,0.583,0.193,0.595,0.105,0.522,0.879,0.769,0.846,0.789,0.757,0.774,0.638,0.632,0.587,1.0,0.371,0.331,0.287,0.315,0.275,0.361,0.225,0.395,0.199,0.628
89,0.742,0.748,0.547,0.728,0.425,0.62,0.232,0.608,0.12,0.561,0.798,0.605,0.834,0.656,0.837,0.724,0.701,0.526,0.657,1.0,0.399,0.333,0.347,0.363,0.302,0.406,0.249,0.439,0.23,0.61
90,0.738,0.736,0.559,0.688,0.433,0.59,0.242,0.553,0.133,0.582,0.877,0.721,0.866,0.759,0.854,0.864,0.796,0.794,0.709,1.0,0.513,0.427,0.361,0.355,0.295,0.636,0.269,0.728,0.256,0.705
91,0.716,0.713,0.593,0.686,0.438,0.583,0.277,0.528,0.144,0.533,0.925,0.804,0.884,0.824,0.854,0.873,0.769,0.772,0.685,1.0,0.552,0.444,0.394,0.42,0.321,0.68,0.286,0.727,0.281,0.696
92,0.75,0.737,0.655,0.729,0.567,0.633,0.338,0.556,0.186,0.49,0.942,0.914,0.923,0.895,0.892,0.943,0.808,0.965,0.66,0.973,0.407,0.438,0.358,0.462,0.323,0.559,0.28,0.618,0.275,0.452
93,0.865,0.774,0.841,0.785,0.766,0.771,0.462,0.66,0.248,0.583,0.903,0.847,0.918,0.898,0.919,0.946,0.816,0.973,0.686,0.961,0.513,0.493,0.408,0.505,0.374,0.592,0.3,0.595,0.278,0.693
94,0.872,0.795,0.846,0.799,0.82,0.829,0.508,0.729,0.237,0.608,0.951,0.974,0.966,0.956,0.959,0.965,0.939,0.991,0.867,0.963,0.46,0.553,0.379,0.406,0.338,0.631,0.303,0.558,0.304,0.752
95,0.861,0.807,0.842,0.807,0.801,0.834,0.521,0.735,0.249,0.594,0.964,0.996,0.976,0.967,0.945,0.953,0.973,0.992,0.948,0.982,0.458,0.58,0.353,0.437,0.343,0.68,0.341,0.624,0.302,0.882
96,0.877,0.824,0.844,0.847,0.8,0.827,0.565,0.753,0.286,0.612,0.949,0.994,0.943,0.945,0.896,0.866,0.946,0.919,0.94,1.0,0.43,0.555,0.348,0.424,0.338,0.607,0.332,0.586,0.292,0.835
97,0.841,0.794,0.792,0.756,0.496,0.828,0.289,0.677,0.258,0.707,0.694,0.829,0.679,0.735,0.651,0.696,0.623,0.626,0.484,0.102,0.339,0.32,0.271,0.277,0.256,0.252,0.228,0.091,0.221,0.419
98,0.815,0.775,0.786,0.729,0.499,0.847,0.289,0.617,0.234,0.633,0.65,0.77,0.63,0.643,0.624,0.594,0.584,0.539,0.461,0.283,0.322,0.326,0.268,0.286,0.253,0.287,0.229,0.13,0.215,0.511
99,0.791,0.747,0.766,0.673,0.508,0.842,0.299,0.604,0.279,0.572,0.719,0.768,0.613,0.634,0.579,0.557,0.484,0.588,0.382,0.434,0.327,0.309,0.267,0.307,0.262,0.304,0.233,0.124,0.227,0.532
100,0.74,0.7,0.739,0.629,0.545,0.827,0.326,0.568,0.34,0.52,0.626,0.741,0.547,0.519,0.545,0.398,0.405,0.396,0.416,0.512,0.342,0.285,0.25,0.297,0.232,0.305,0.205,0.125,0.201,0.509
101,0.664,0.621,0.709,0.587,0.565,0.777,0.35,0.554,0.287,0.434,0.632,0.79,0.544,0.539,0.532,0.381,0.434,0.4,0.471,0.501,0.358,0.291,0.263,0.284,0.229,0.395,0.195,0.163,0.183,0.568
102,0.629,0.56,0.661,0.533,0.599,0.736,0.408,0.572,0.275,0.335,0.636,0.825,0.531,0.616,0.477,0.408,0.388,0.464,0.421,0.083,0.38,0.291,0.246,0.237,0.199,0.42,0.179,0.209,0.185,0.512
103,0.509,0.396,0.604,0.438,0.615,0.698,0.481,0.54,0.28,0.265,0.655,0.869,0.577,0.732,0.541,0.509,0.442,0.546,0.427,0.088,0.376,0.304,0.225,0.195,0.186,0.44,0.174,0.249,0.187,0.463
104,0.232,0.191,0.223,0.256,0.049,0.297,0.009,0.177,0.027,0.168,0.16,0.379,0.07,0.181,0.033,0.063,0.037,0.038,0.025,0.027,0.072,0.154,0.095,0.075,0.075,0.022,0.064,0.01,0.066,0.128
