Time_Index,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9
56,0.012,0.108,0.012,0.129,0.078,0.0,0.006,0.152,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.183,0.254,0.147,0.298,0.21,0.161,0.129,0.34,0.302,0.179,0.065,0.031,0.055,0.045,0.06,0.057,0.059,0.068,0.132,0.097,0.012,0.003,0.017,0.0,0.021,0.0,0.009,0.0,0.007,0.0
58,0.417,0.363,0.357,0.424,0.338,0.441,0.302,0.474,0.44,0.363,0.333,0.269,0.316,0.298,0.32,0.356,0.365,0.29,0.44,0.339,0.3,0.212,0.31,0.191,0.307,0.017,0.305,0.014,0.295,0.006
59,0.548,0.427,0.487,0.481,0.432,0.585,0.414,0.534,0.504,0.437,0.501,0.447,0.473,0.461,0.471,0.512,0.526,0.424,0.621,0.486,0.543,0.417,0.535,0.527,0.538,0.473,0.574,0.485,0.55,0.472
60,0.619,0.479,0.567,0.527,0.494,0.629,0.48,0.553,0.531,0.486,0.58,0.529,0.554,0.557,0.567,0.593,0.617,0.528,0.707,0.584,0.689,0.569,0.66,0.696,0.656,0.67,0.733,0.68,0.71,0.666
61,0.641,0.504,0.598,0.544,0.528,0.651,0.532,0.56,0.532,0.496,0.602,0.597,0.603,0.623,0.614,0.66,0.678,0.597,0.75,0.636,0.742,0.648,0.718,0.764,0.716,0.752,0.793,0.764,0.782,0.752
62,0.646,0.489,0.598,0.531,0.528,0.641,0.55,0.523,0.503,0.49,0.625,0.651,0.628,0.683,0.637,0.731,0.722,0.626,0.78,0.659,0.756,0.729,0.739,0.786,0.714,0.779,0.806,0.787,0.788,0.779
63,0.623,0.447,0.592,0.494,0.505,0.622,0.539,0.483,0.477,0.499,0.646,0.691,0.638,0.715,0.643,0.759,0.741,0.627,0.776,0.667,0.772,0.794,0.746,0.8,0.699,0.797,0.815,0.804,0.776,0.795
64,0.596,0.374,0.548,0.414,0.443,0.608,0.503,0.401,0.417,0.521,0.658,0.698,0.636,0.718,0.629,0.75,0.75,0.606,0.78,0.644,0.777,0.8,0.739,0.805,0.69,0.8,0.805,0.807,0.763,0.797
65,0.542,0.263,0.483,0.296,0.341,0.58,0.437,0.28,0.324,0.505,0.639,0.671,0.618,0.697,0.626,0.732,0.743,0.569,0.767,0.607,0.786,0.799,0.757,0.818,0.705,0.816,0.811,0.825,0.733,0.813
