Resource,Zone,Resource_Type,Cluster,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
TRE_natural_gas_fired_combined_cycle_2,2,Natural Gas Fired Combined Cycle,2,6317.6,0.000580854939658551,0.0,6317.599419145061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_1,2,Natural Gas Fired Combustion Turbine,1,2924.0,8.868106393074819e-5,0.0,2923.999911318936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_2,2,Natural Gas Fired Combustion Turbine,2,2826.9,9.903415261826602e-5,0.0,2826.8999009658473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_internal_combustion_engine_1,2,Natural Gas Internal Combustion Engine,1,502.7,0.0,0.0,502.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_steam_turbine_1,2,Natural Gas Steam Turbine,1,8249.5,0.001105831008025262,0.0,8249.498894168992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_nuclear_1,2,Nuclear,1,5120.0,0.004692488458055788,0.0,5119.995307511542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_onshore_wind_turbine_1,2,Onshore Wind Turbine,1,21683.1,0.0008240697254030351,0.0,21683.099175930274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_petroleum_liquids_1,2,Petroleum Liquids,1,23.7,0.00010151552703415093,0.0,23.699898484472964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_small_hydroelectric_1,2,Small Hydroelectric,1,11.2,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_solar_photovoltaic_1,2,Solar Photovoltaic,1,1821.5,0.0005495992280011876,0.0,1821.499450400772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_batteries_1,3,Batteries,1,1357.5,0.0,0.0,1357.5,3611.0,0.0,0.0,3611.0,0.0,0.0,0.0,0.0
WECC_biomass_1,3,Biomass,1,551.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_conventional_hydroelectric_1,3,Conventional Hydroelectric,1,46528.0,0.0,0.0,46528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_conventional_steam_coal_1,3,Conventional Steam Coal,1,11415.2,0.001446006017164144,0.0,11415.198553993983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_conventional_steam_coal_2,3,Conventional Steam Coal,2,2074.5,2074.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_geothermal_1,3,Geothermal,1,1752.4,0.0,0.0,1752.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_hydroelectric_pumped_storage_1,3,Hydroelectric Pumped Storage,1,4567.1,0.0,0.0,4567.1,70790.0,0.0,0.0,70790.0,0.0,0.0,0.0,0.0
WECC_natural_gas_fired_combined_cycle_1,3,Natural Gas Fired Combined Cycle,1,37593.3,8.945411363175985e-5,0.0,37593.29991054589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_natural_gas_fired_combined_cycle_2,3,Natural Gas Fired Combined Cycle,2,12502.4,0.00015740481966195388,0.0,12502.39984259518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_natural_gas_fired_combustion_turbine_1,3,Natural Gas Fired Combustion Turbine,1,15252.7,9.04453391753716e-5,0.0,15252.699909554662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_natural_gas_fired_combustion_turbine_2,3,Natural Gas Fired Combustion Turbine,2,6281.6,9.176210030644053e-5,0.0,6281.5999082379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_natural_gas_internal_combustion_engine_1,3,Natural Gas Internal Combustion Engine,1,1282.7,0.0001155752942493439,0.0,1282.6998844247057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_natural_gas_steam_turbine_1,3,Natural Gas Steam Turbine,1,2669.5,0.0013457134778372742,0.0,2669.498654286522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_nuclear_1,3,Nuclear,1,5175.0,0.003763442541661505,0.0,5174.996236557458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_onshore_wind_turbine_1,3,Onshore Wind Turbine,1,20644.2,0.00013831838206296597,0.0,20644.19986168162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_petroleum_liquids_1,3,Petroleum Liquids,1,636.2,0.0,0.0,636.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_small_hydroelectric_1,3,Small Hydroelectric,1,1064.3,0.0,0.0,1064.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_solar_photovoltaic_1,3,Solar Photovoltaic,1,14659.8,0.004762360444137809,0.0,14659.795237639555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_distributed_generation_1,3,distributed_generation,1,250535.0,0.0,0.0,250535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_distributed_generation_1,1,distributed_generation,1,1.766345e6,0.0,0.0,1.766345e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_distributed_generation_1,2,distributed_generation,1,17006.0,0.0,0.0,17006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_naturalgas_ccavgcf_moderate_0,1,NaturalGas_CCAvgCF_Moderate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_naturalgas_ctavgcf_moderate_0,1,NaturalGas_CTAvgCF_Moderate,0,0.0,0.0,0.008857970267004155,0.008857970267004155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_battery_moderate_0,1,Battery_*_Moderate,0,0.0,0.0,1.0040138523010602e6,1.0040138523010602e6,0.0,0.0,5.614942098762997e6,5.614942098762997e6,0.0,0.0,0.0,0.0
EIC_naturalgas_ccccsavgcf_conservative_0,1,NaturalGas_CCCCSAvgCF_Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_advnuclear_atb_moderate_0,1,AdvNuclear_ATB_Moderate,0,0.0,0.0,0.02935826446043114,0.02935826446043114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_storage_metalair_advanced_0,1,Storage_MetalAir_Advanced,0,0.0,0.0,676.0,676.0,0.0,0.0,135200.0,135200.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_0,1,LandbasedWind_Class1_Moderate_,0,0.0,0.0,95735.89337036115,95735.89337036115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_1,1,LandbasedWind_Class1_Moderate_,1,0.0,0.0,139803.6413717046,139803.6413717046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_2,1,LandbasedWind_Class1_Moderate_,2,0.0,0.0,0.09937229693725837,0.09937229693725837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_3,1,LandbasedWind_Class1_Moderate_,3,0.0,0.0,0.15787626080515935,0.15787626080515935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_4,1,LandbasedWind_Class1_Moderate_,4,0.0,0.0,0.07409243190383046,0.07409243190383046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_5,1,LandbasedWind_Class1_Moderate_,5,0.0,0.0,0.22978279840990615,0.22978279840990615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_6,1,LandbasedWind_Class1_Moderate_,6,0.0,0.0,0.035530826829008974,0.035530826829008974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_7,1,LandbasedWind_Class1_Moderate_,7,0.0,0.0,0.07637287522699975,0.07637287522699975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_8,1,LandbasedWind_Class1_Moderate_,8,0.0,0.0,0.022467613721374693,0.022467613721374693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_landbasedwind_class1_moderate_9,1,LandbasedWind_Class1_Moderate_,9,0.0,0.0,0.00574893727867861,0.00574893727867861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_0,1,UtilityPV_Class1_Moderate_,0,0.0,0.0,0.10987388980216307,0.10987388980216307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_1,1,UtilityPV_Class1_Moderate_,1,0.0,0.0,0.5047519041257791,0.5047519041257791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_2,1,UtilityPV_Class1_Moderate_,2,0.0,0.0,0.04719296438510123,0.04719296438510123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_3,1,UtilityPV_Class1_Moderate_,3,0.0,0.0,0.10749138648134761,0.10749138648134761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_4,1,UtilityPV_Class1_Moderate_,4,0.0,0.0,0.04586684947386608,0.04586684947386608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_5,1,UtilityPV_Class1_Moderate_,5,0.0,0.0,0.030680723331362163,0.030680723331362163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_6,1,UtilityPV_Class1_Moderate_,6,0.0,0.0,0.028955209147268637,0.028955209147268637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_7,1,UtilityPV_Class1_Moderate_,7,0.0,0.0,0.043017877975778274,0.043017877975778274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_8,1,UtilityPV_Class1_Moderate_,8,0.0,0.0,0.02300844248099925,0.02300844248099925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_utilitypv_class1_moderate_9,1,UtilityPV_Class1_Moderate_,9,0.0,0.0,0.003955269907808621,0.003955269907808621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_0,1,OffShoreWind_Class3_Moderate_fixed_1,0,0.0,0.0,0.008400547685620926,0.008400547685620926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_1,1,OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.00860566427170129,0.00860566427170129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_2,1,OffShoreWind_Class3_Moderate_fixed_1,2,0.0,0.0,0.007025435919069259,0.007025435919069259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_3,1,OffShoreWind_Class3_Moderate_fixed_1,3,0.0,0.0,0.007493426101845801,0.007493426101845801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_4,1,OffShoreWind_Class3_Moderate_fixed_1,4,0.0,0.0,0.00754655342592225,0.00754655342592225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_5,1,OffShoreWind_Class3_Moderate_fixed_1,5,0.0,0.0,0.0038859507937213855,0.0038859507937213855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_6,1,OffShoreWind_Class3_Moderate_fixed_1,6,0.0,0.0,0.00445771925124842,0.00445771925124842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_7,1,OffShoreWind_Class3_Moderate_fixed_1,7,0.0,0.0,0.0022757099089722155,0.0022757099089722155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_8,1,OffShoreWind_Class3_Moderate_fixed_1,8,0.0,0.0,0.0019747054272770247,0.0019747054272770247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_1_9,1,OffShoreWind_Class3_Moderate_fixed_1,9,0.0,0.0,0.004535111137762315,0.004535111137762315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_0,1,OffShoreWind_Class3_Moderate_fixed_0,0,0.0,0.0,0.008400547685620926,0.008400547685620926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_1,1,OffShoreWind_Class3_Moderate_fixed_0,1,0.0,0.0,0.00860566427170129,0.00860566427170129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_4,1,OffShoreWind_Class3_Moderate_fixed_0,4,0.0,0.0,0.007025435919069259,0.007025435919069259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_5,1,OffShoreWind_Class3_Moderate_fixed_0,5,0.0,0.0,0.007493426101845801,0.007493426101845801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshorewind_class3_moderate_fixed_0_10,1,OffShoreWind_Class3_Moderate_fixed_0,10,0.0,0.0,0.00754655342592225,0.00754655342592225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
