Resource,EIC_storage_metalair_advanced_0,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_storage_metalair_advanced_0,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_storage_metalair_advanced_0,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9,Total
t13,0.0,0.6938750155298424,7383.434031575248,0.10859179902314878,0.35115721284567575,0.018603715702709897,0.585756513135733,0.009829006102252394,0.2564377129843478,0.025510013996050056,0.08164493836514708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5163.103700399936,7119.277849880495,5236.030925341774,4.002885259182823,3.113962425695621,1960.7874069492998,0.36781909110081723,3134.9093620525223,0.10250116835088406,0.10124586472606911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.44831184812,1623.8154303345757,0.7278884908450007,2.5202104599190513,0.05840367335649843,0.14152827917523314,0.028328095696127396,0.09467061111971775,0.024949176545928438,0.056199903728818494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33179.279016809094
t14,0.0,0.6663835066280213,7214.344139617491,0.11340154652330486,0.38787275319141246,0.022144575127175766,0.6046383018307009,0.011340343050224421,0.2618086833620115,0.015524579768726877,0.09019654725154776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406.897510286128,6606.848554430255,5001.796182586121,7.2202489037258415,6.2191354157306815,1425.541807065228,0.3488721426903073,1574.1968157482838,0.06904599508497711,0.10967677401908096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.2176215085904,1542.8185583110908,0.8888053764600816,3.350388500516605,0.063654450721626,0.20418505096545408,0.032415273024711144,0.09414339176922225,0.028056328661354553,0.07259553595720605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30148.535723529247
t15,0.0,0.8134778550262485,8313.428393035545,0.1497822513675702,0.4153543642508549,0.04323106364357378,0.7067883601386837,0.019538555892532426,0.31938687609791544,0.020958899944310574,0.10423447160089239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6592.295570394062,7019.787706600958,7513.8011635676085,11.945773520341644,12.294301166502688,2986.54321867084,0.5685743278831272,2900.624724557561,0.09197362964977074,0.11873508826551565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.1598174876065,1520.3084781918935,1.092678836647156,4.448690022061511,0.08442611809467993,0.20053935449730725,0.04403042721504197,0.08943644146193039,0.041467120925569874,0.09896406375299167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38187.661415321345
t16,0.0,0.8742247759085919,8820.699021897006,0.15268030085214374,0.42615330124890116,0.06468161292763167,0.6701785501649786,0.03114890533742232,0.3365935964434448,0.020687645028710084,0.11114078608006345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6592.299174220696,7267.554675547397,7579.909704612242,12.070233396048046,14.218408743919888,3465.2546378804554,0.7259545091686187,2640.3008873720005,0.13026443394262788,0.11745154923409758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.1729295562257,1638.3246663480797,1.2324087424153536,5.2633135548923144,0.09900500501527318,0.2218568687463999,0.051461258846929765,0.12887209129023264,0.051555516185220335,0.11089373675242173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39466.62486631455
t17,0.0,1.1866139444897725,10511.599485067123,0.2088866201489396,0.5221641890611629,0.08567877078926264,0.8761969319263745,0.05019256759418676,0.3583935021485919,0.03098584618227042,0.14565264626519558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6675.6239653128605,6496.875730371706,7425.804492506446,13.622667969650255,15.301443102581443,3954.5076554229518,0.8951478180343717,3582.568611400835,0.20028328354935876,0.19612117059155834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2778.6301620954496,3089.181358757071,1.408596884678454,6.6850555995129435,0.15492466180448827,0.2604353696051911,0.07421673768731141,0.17367090116538358,0.06705456252475858,0.13431888860740004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44557.43016290305
t18,0.0,1.289706436003893,10708.981243151535,0.2524502801929566,0.53688813708461,0.11309542021872669,1.0066267092054602,0.06744357860725327,0.362251415743479,0.0474368610395238,0.16817618762596492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8089.78311961416,7983.457832059263,9849.669749509205,17.744689174779154,20.59744852440387,5598.765399833694,1.3752141786970224,7512.272390348826,0.20964043602389423,0.2218101418690165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22303.220788407263,12157.755222063475,1.372800713947218,6.739222777075041,0.16644765517072133,0.3001683527926035,0.07498040323015957,0.19306030481998476,0.062246379889876274,0.12926314064878264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84256.9368121965
t19,0.0,1.3894130793978754,12230.791212183796,0.26973642544317944,0.6024216156432483,0.13899785746594814,0.8651200926776976,0.09876637060483776,0.3263197151687713,0.08256275897184653,0.1792552746000805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8568.100424517032,8451.45471281083,9761.528762793383,17.86513115287483,20.322006317721154,5869.337560262718,1.5161476307676276,9024.647854865376,0.22963762143339136,0.24288180478922416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69365.00389021529,21230.062401923387,1.330896399277822,7.256332355164669,0.16804805984126492,0.271465799092518,0.07816311633103436,0.18633011638226982,0.0697124158201135,0.12301014031377144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144554.53917569164
t20,0.0,1.1373289194062568,11216.25066380252,0.24739680982551293,0.5513221690168604,0.1557421946373837,0.9119665673569316,0.10455386711242884,0.34409878605645505,0.07696181433521293,0.1710475319315648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9088.010678042026,11149.322881914282,10400.54650518099,19.843589410094246,20.399500283144135,5005.582566850573,1.6642131319593294,7871.768351491002,0.2384236762211359,0.25894922504992396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76682.6558829832,25660.641896558656,3.720002254731889,21.32049033446315,0.3174172693269699,0.5363622011556427,0.1125718738141236,0.2722018150703326,0.08502086647717232,0.14185892568703445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157147.39044675013
t21,0.0,1.1659696505949193,12005.337726407077,0.28720084647936883,0.5642758807363865,0.26065746790413014,1.0968260279010922,0.183424820770133,0.4720429883152179,0.15448138784181145,0.19651684303958683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10626.969155934094,10488.643264783354,11766.746961979636,21.280389637534256,22.070024958820095,6962.06108914161,2.095843403930333,10574.18682346851,0.46145911579086807,0.30158892682868743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77781.26822963502,25424.36982168877,3.6149713775536023,21.486851285125518,0.33179044424300014,0.5773775621262248,0.12918166581672577,0.2930841295682566,0.10059123509188052,0.1856326858827392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165706.89325537995
t22,0.0,1.2752499506013486,13301.694605156483,0.33349954981643554,0.6109159483982702,0.3550636216818466,1.1873589589884994,0.2121293589668207,0.5783229931553505,0.19322707220028962,0.2002155116820995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11895.551430906711,15471.440239604544,12604.081546586167,24.1079489555728,20.46234195070692,7118.141079042756,2.1821747621547343,10574.628969507472,0.607128284280979,0.29974360283381785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80198.2053469383,27881.745041356113,3.463905821666571,18.80816279728754,0.3277944751224158,0.5693270087161735,0.13042865013724003,0.27773891640318465,0.09987720994687203,0.19609834832614076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179121.9669128472
t23,0.0,1.5655534538922904,15809.863292968093,0.3591862274834122,0.7745250654417328,0.431383174878991,1.1480057340899967,0.20650375275293498,0.5983628345354453,0.17006873760458138,0.24945164283513988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12186.705213143376,17288.375567664116,13309.209146918121,23.22305782694064,21.171939938654784,6035.870472966996,2.319426474049325,6966.847531664096,0.6395796809985751,0.21762978916087639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84043.32432230529,30480.892318173584,3.312386406404499,20.707184595981346,0.3146043133283966,0.5872003422381399,0.13136442581611724,0.2605035526024553,0.0994184101981753,0.1894050011581758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186199.76460718468
t24,0.0,1.865626380622807,18825.30029265066,0.40904768484519655,0.876633999933675,0.36016519548399717,1.175364960949264,0.18930189750973186,0.7105610537364077,0.14211932049764583,0.2761500278354805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14765.434364436727,20509.27128781419,14653.17489430538,27.354296112929745,21.30066911277161,7118.572876722217,2.5372239952615026,9421.333108987095,0.6622670457885887,0.2315040719259565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82285.55341323346,31945.86623267464,3.3761678228740397,20.51251036716145,0.3347876398602098,0.5869301386437966,0.15405737632314953,0.25528054840311853,0.11718272718108194,0.2038064919393216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199608.13812479685
t25,0.0,2.086241050760591,18233.47423354987,0.4825350846681977,0.9461725196512505,0.23078430319303306,1.5057116275549811,0.09653785539531191,0.741793410669353,0.06241970832801184,0.1947762178718861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12997.718885382254,20564.312379468123,11590.421677086933,27.329630435104164,16.10288085734646,6160.703104066329,2.251151534924524,7363.488746574355,0.49429057177422264,0.09870215477187116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56688.01849242128,20037.02968161247,3.171345158639193,19.67199691432824,0.39108380812530513,0.39896119591072876,0.17609245295364656,0.16597137929542496,0.12927474121671112,0.1385509228042843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153712.0341040669
t26,0.0,2.4051997066072803,18684.381672697094,0.5165893730861109,1.0770708604567854,0.30068718739436906,1.4663708129516615,0.10984813122687362,0.6485260438032308,0.04408055456277232,0.18722718783062733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12872.940819457011,21579.455695384524,11039.543534951095,27.49557950568635,14.494829048109764,5671.589025566562,2.0595917026905357,5875.904318338923,0.4265853837752259,0.1317818615495649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57566.90334113071,16445.479786063846,3.108260113826603,20.11035295688658,0.3841846095746418,0.3660371888197905,0.17882638330540207,0.14472722578888841,0.12945158964595693,0.13647642303719748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149812.1204774404
t27,0.0,2.2915167117822195,18994.38089343124,0.49102486318623584,1.1559099510874318,0.2405764643736783,1.5415996007811559,0.08657796848502669,0.6030035163965637,0.03527475536819131,0.17530111186770345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12810.551903977856,21579.42219583517,10268.313963079243,27.43389423997474,11.788742357131621,5213.694711590913,1.8571886699778426,4822.198832418076,0.4148540636136491,0.16166852348623623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50865.40855218501,15689.364081083175,2.934047366467539,17.48077442411251,0.3591853809071052,0.37025710893646213,0.15474649227322454,0.14897787696514114,0.1101243251060614,0.13592504244349507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140313.30630441543
