Constraint,CapRes_1,CapRes_2,CapRes_3
t97,3048.8423581515963,0.16723206315740696,3979.917476142964
t98,3048.8419841355035,0.1447429894830964,3979.916418277622
t99,3048.8418315209115,0.1390339096942076,3979.9113339460737
t100,3048.8418593686383,0.13591971664714828,3979.90819476504
t101,3048.842081760373,0.1362947484068867,3979.90624062921
t102,3048.841706069742,0.13863543919594107,3979.9045585480117
t103,3048.8430117787775,0.15010654673206614,3979.903468625353
t104,3048.8425145766673,0.4648342421340583,3979.9119349227044
t105,2580.5419974722913,0.20058448485400598,3979.8967007836764
t106,2580.5410169183333,0.20679964436077677,3979.8803513117614
t107,2580.5409984394432,0.1870068038660595,3976.557934125786
t108,2580.5410016600968,0.17470016771059668,94.0711669933259
t109,2580.5412012811585,0.17046794645578994,94.05398383402688
t110,2580.541116504149,0.17009808326015288,94.0520400286787
t111,2580.541098960405,0.17005647172671887,94.05469787868931
t112,2580.54111112349,0.17094578767039229,94.06244462309192
t113,3048.826761452109,0.1783750868861187,94.09225081660203
t114,3048.8422424368546,0.29580272282438524,3367.6750391994965
t115,3048.842826290488,0.411193154145009,3979.874855813652
t116,3048.843051069473,0.1829753386900217,3979.879720726625
t117,3048.84303398463,0.17724946463218683,3979.9012778041856
t118,3048.843168191291,0.1733435331778196,3979.906246280115
t119,3048.8431550598348,0.17067577451409963,3979.906937645284
t120,3048.8430479499884,0.1714608398017397,3979.907096913052
