Zone,1,2,3
t52,-8.702667287413493e-5,-0.000559877644271998,-0.0002732027641796674
t53,-0.00010036362877278697,-0.0006314374420673643,-0.0003163783333134952
t54,-7.912407388499523e-5,-0.0005374118030803344,-0.0002827181986026035
t55,-8.159606772640243e-5,-0.000520104776738666,-0.0002999481284988901
t56,-7.62984224643938e-5,-0.0005178882773053156,-0.00030281344032139873
t57,-6.904069375166986e-5,-0.0004797577122456037,-0.0003235065451738812
t58,-6.62909333284876e-5,-0.0004863115876830166,-0.0003142872090037307
t59,-5.484386156213773e-5,-0.00038315146351405166,-0.0002714818769614138
t60,-5.098719360373548e-5,-0.0004019704351277883,-0.0002542494621746702
t61,-4.645536327751513e-5,-0.0004011265786397442,-0.00023271304234233348
t62,-4.424728438731205e-5,-0.0003842848871630394,-0.00021604591750714128
t63,-4.404960092312155e-5,-0.00042945323001046434,-0.00020796155415311489
t64,-3.8192537817199524e-5,-0.00037167350223005284,-0.00017299108542970305
t65,-3.4381712288345095e-5,-0.0003827806649170885,-0.0001661881565147548
t66,-3.3255850198289e-5,-0.00040565343621797023,-0.00016076313334268771
t67,-3.1688685090234683e-5,-0.0004174787296359363,-0.0001591203529776065
t68,-3.454952342005468e-5,-0.0004458316895133742,-0.00016419107106153895
t69,-3.1793756546514914e-5,-0.000362153204949443,-0.00016111392411419692
t70,-4.0714270297335394e-5,-0.0004010149664301255,-0.00016541811803487546
t71,-4.940751464243311e-5,-0.0004483877663011986,-0.00017267271535013505
t72,-5.9666411247381744e-5,-0.0005181405483269,-0.0001941037873870531
t73,-3.572797966864572e-7,-5.64535997519019e-6,-1.6128452653908407e-6
t74,-3.5773303906594684e-7,-5.3957005821250895e-6,-1.8554251272482542e-6
t75,-3.673766493027432e-7,-5.6014710137312176e-6,-1.8948506888634043e-6
t76,-4.122496845989896e-7,-5.531636274866528e-6,-1.8980440191870041e-6
t77,-4.804913252405478e-7,-5.198980693228035e-6,-1.9740465548987e-6
t78,-4.643664729219587e-7,-4.753840744483779e-6,-2.0717005646123285e-6
t79,-4.1324442033918524e-7,-4.253461053981812e-6,-2.0635234589925917e-6
t80,-3.585423690254301e-7,-3.8298578838666004e-6,-2.0368143255804203e-6
t81,-4.06280583832262e-7,-3.6941838833108427e-6,-1.945317887943963e-6
