Resource,Zone,Resource_Type,Cluster,StartCapSolar,RetCapSolar,NewCapSolar,EndCapSolar,StartCapWind,RetCapWind,NewCapWind,EndCapWind,StartCapDC,RetCapDC,NewCapDC,EndCapDC,StartCapGrid,RetCapGrid,NewCapGrid,EndCapGrid,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeDCCap,RetChargeDCCap,NewChargeDCCap,EndChargeDCCap,StartChargeACCap,RetChargeACCap,NewChargeACCap,EndChargeACCap,StartDischargeDCCap,RetDischargeDCCap,NewDischargeDCCap,EndDischargeDCCap,StartDischargeACCap,RetDischargeACCap,NewDischargeACCap,EndDischargeACCap
EIC_utilitypv_class1_moderate_9,1,UtilityPV_Class1_Moderate_,9,0,0.0,0.8799254939488602,0.8799254939488602,0,0.0,0.0,0.0,0,0.0,1.4306215210287643,1.4306215210287643,0.0,0.0,0.527137433156117,0.527137433156117,0.0,0.0,104.72644788802377,104.72644788802377,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_storage_metalair_advanced_0,2,Storage_MetalAir_Advanced,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,78.20286564938557,78.20286564938557,0.0,0.0,78.13207286225509,78.13207286225509,0.0,0.0,30648.769806520388,30648.769806520388,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_0,2,LandbasedWind_Class1_Moderate_,0,0,0.0,0.0,0.0,0,0.0,20796.432126059353,20796.432126059353,0,0.0,1.2248040843834045,1.2248040843834045,0.0,0.0,14936.050421208713,14936.050421208713,0.0,0.0,84.75198768886364,84.75198768886364,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_1,2,LandbasedWind_Class1_Moderate_,1,0,0.0,0.0,0.0,0,0.0,27529.266935637053,27529.266935637053,0,0.0,1.2239303448644847,1.2239303448644847,0.0,0.0,21579.304296036884,21579.304296036884,0.0,0.0,83.70067141960527,83.70067141960527,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_2,2,LandbasedWind_Class1_Moderate_,2,0,0.0,0.0,0.0,0,0.0,22035.121142270087,22035.121142270087,0,0.0,1.2194529398319696,1.2194529398319696,0.0,0.0,14653.132570696263,14653.132570696263,0.0,0.0,84.34689925801186,84.34689925801186,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_3,2,LandbasedWind_Class1_Moderate_,3,0,0.0,0.0,0.0,0,0.0,40.39488234464622,40.39488234464622,0,0.0,1.216095113213812,1.216095113213812,0.0,0.0,27.487040802045083,27.487040802045083,0.0,0.0,82.6806144300408,82.6806144300408,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_4,2,LandbasedWind_Class1_Moderate_,4,0,0.0,0.0,0.0,0,0.0,39.21473458938488,39.21473458938488,0,0.0,1.2190514391939922,1.2190514391939922,0.0,0.0,24.98393296368377,24.98393296368377,0.0,0.0,84.5662014504696,84.5662014504696,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_5,2,LandbasedWind_Class1_Moderate_,5,0,0.0,0.0,0.0,0,0.0,10406.680139546836,10406.680139546836,0,0.0,1.214098687738602,1.214098687738602,0.0,0.0,7118.308938228244,7118.308938228244,0.0,0.0,82.57011061948579,82.57011061948579,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_6,2,LandbasedWind_Class1_Moderate_,6,0,0.0,0.0,0.0,0,0.0,3.924858082065257,3.924858082065257,0,0.0,1.2180768791606535,1.2180768791606535,0.0,0.0,2.7232838323795794,2.7232838323795794,0.0,0.0,84.70388513913596,84.70388513913596,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
TRE_landbasedwind_class1_moderate_7,2,LandbasedWind_Class1_Moderate_,7,0,0.0,0.0,0.0,0,0.0,12396.53235335058,12396.53235335058,0,0.0,1.208337127439514,1.208337127439514,0.0,0.0,10574.306603000265,10574.306603000265,0.0,0.0,81.07568162503325,81.07568162503325,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
